source_key,raga,artist,title,performance_type,link,source_platform,duration_sec,license_type,rights_status,collection_id,rank,tags
yt_bilawal_playlist_Fj3mAGuNXQo,bilawal,,Raag Bilawal - Kaun Jane Peer Parai Bhai Kamaljit Singh Hajuri Ragi ji,,https://www.youtube.com/watch?v=Fj3mAGuNXQo,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bilawal_playlist_I8FMGxVi3Ws,bilawal,,Rag Bilawal - Satgur Shabad Ujaro Deepa Bhai Gurdev Singh Khalsa Hazuri Ragi Ji,,https://www.youtube.com/watch?v=I8FMGxVi3Ws,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bilawal_playlist_Ks5udddCpuA,bilawal,,Gobind Gobind Gobind Maee  Bhai Bhupinder Singh Hajuri Ragi Ji,,https://www.youtube.com/watch?v=Ks5udddCpuA,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bilawal_playlist_Vu3bDF1NS54,bilawal,,Rag Bilawal - Ram Raj Ramdas Pur Bhai Bhupinder Singh Hazuri Ragi Ji,,https://www.youtube.com/watch?v=Vu3bDF1NS54,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bilawal_playlist_ZwXRuowXkAU,bilawal,,Rag Bilawal - Darmade Thade Darbar Bhai Sukhwant Singh Hazuri Ragi ji,,https://www.youtube.com/watch?v=ZwXRuowXkAU,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bilawal_playlist__TGzS6oFjK4,bilawal,,Rag Bilawal - Jap Man Ram Nam Rasna Bhai Sahib Singh Hazuri Ragi ji,,https://www.youtube.com/watch?v=_TGzS6oFjK4,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bilawal_playlist_cjIWAdayd_c,bilawal,,Rag Bilawal - Satgur Kar Deene Asthir Ghar Bar Bhai kamaljeet Singh Hazuri Ragi Ji,,https://www.youtube.com/watch?v=cjIWAdayd_c,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bilawal_playlist_dfGlFwl2Bw8,bilawal,,Raag Bilawal - Man Meh Sinchho Har Har Nam Bhai Jabartor singh hazuri Ragi ji,,https://www.youtube.com/watch?v=dfGlFwl2Bw8,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bilawal_playlist_kCmzxVZh9fk,bilawal,,Rag Bilawal - Mu Lalan Sio Preet Bani Bhai Harwinder Singh Hazuri Ragi Ji,,https://www.youtube.com/watch?v=kCmzxVZh9fk,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bilawal_playlist_mhCDDDW2A2A,bilawal,,Rag Bilaval - mere Man Bhaj Ram Name Rama Bhai Bhupinder Singh Hazuri Ragi Ji,,https://www.youtube.com/watch?v=mhCDDDW2A2A,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bilawal_playlist_tB_h-h1dltA,bilawal,,Rag Bilawal) Suraj Kiran Mile Jal Ka Jal Hua Ram Bhai Gurdev Singh Ji Khalsa,,https://www.youtube.com/watch?v=tB_h-h1dltA,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bilawal_playlist_uOaQ78D2bNI,bilawal,,Rag Bilawal - Kawan Sanjog Milau Prabh Apne Bhai Simarpreet Singh Hazuri Ragi ji,,https://www.youtube.com/watch?v=uOaQ78D2bNI,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bilawal_playlist_zF4eNkfZC5Q,bilawal,,Rag Bilawal - Aiso Gyan Birlo ee Paye  Bhai Sukhjit Singh baba bakala  Hazuri Ragi ji,,https://www.youtube.com/watch?v=zF4eNkfZC5Q,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bilawal_playlist_zHF_rZs8LM8,bilawal,,Rag Bilawal - Shant Payi Gur Satgur Poore  Bhai Sukhpreet Singh Hazuri Ragi ji,,https://www.youtube.com/watch?v=zHF_rZs8LM8,youtube,,unknown,ingestible,,,"{""tags"": []}"
desh_pannalal_ghosh,desh,Pandit Pannalal Ghosh,Raga Desh,bansuri,https://www.youtube.com/watch?v=U_aeKKiZpoo,youtube,,unknown,reference_only,,,"{""tags"": [""instrumental""], ""collection_key"": ""yt_desh_playlist""}"
desh_vilayat_khan,desh,Ustad Vilayat Khan,Raga Desh,sitar,https://www.youtube.com/watch?v=nCdCLdruj_0,youtube,,unknown,reference_only,,,"{""tags"": [""instrumental""], ""collection_key"": ""yt_desh_playlist""}"
yt_desh_playlist_56L_HZnyVZ8,desh,,Des (राग देस) Aalap  and Vistar Tutorial,,https://www.youtube.com/watch?v=56L_HZnyVZ8,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_desh_playlist_JfNxlUB1meA,desh,,Des (राग देस) Bada Khyal in Roopak Madhya Laya  tutorial - Aaj savan chhay rahyo re,,https://www.youtube.com/watch?v=JfNxlUB1meA,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_desh_playlist_L1ZxrjJFYbQ,desh,,Des (राग देस) Chhota Khyal in Teental Madhya Laya -  Naina bhaye baware ho,,https://www.youtube.com/watch?v=L1ZxrjJFYbQ,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_desh_playlist_NwCfvqi_uBY,desh,,होरी खेलत बनमाली रे - Hori khelat banmali re - Hori in Raag Des,,https://www.youtube.com/watch?v=NwCfvqi_uBY,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_desh_playlist_OfU2yZ23OSI,desh,,Des (राग देस) Chhota Khyal in Teental Madhya Laya - Sawan ghan barse ri,,https://www.youtube.com/watch?v=OfU2yZ23OSI,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_desh_playlist_QBKHBaN7J4k,desh,,Des (राग देस) Hori in Teental Madhya Laya  - Hori khelat banmali re,,https://www.youtube.com/watch?v=QBKHBaN7J4k,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_desh_playlist_Rluo4HmW7kc,desh,,Des and Tilak Kamod - Similaries and Differences,,https://www.youtube.com/watch?v=Rluo4HmW7kc,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_desh_playlist_T5qTHy0ooQw,desh,,Des (राग देस) Aalap and Taan tutorial,,https://www.youtube.com/watch?v=T5qTHy0ooQw,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_desh_playlist__AmAhXy54DM,desh,,"How to create Palta Taans from any swar in any Raag  - Demo in Raag Abhogi, Des, Puriya and Bhairavi",,https://www.youtube.com/watch?v=_AmAhXy54DM,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_desh_playlist_cht7zssT7vY,desh,,Alankars in Audhav-Sampoorn Jati using Raag Des,,https://www.youtube.com/watch?v=cht7zssT7vY,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_desh_playlist_eHrKnPp1EZo,desh,,Des (राग देस) Raag Description,,https://www.youtube.com/watch?v=eHrKnPp1EZo,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_desh_playlist_hqKDK6oJDcE,desh,,Des (राग देस) Taan Tutorial (तानों का परिचय) in A# Scale,,https://www.youtube.com/watch?v=hqKDK6oJDcE,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_desh_playlist_kgzXMF5slHc,desh,,`Des (राग देस) Bada Khyal in Ektal vilambit - Eri sakhi sawan ayo re,,https://www.youtube.com/watch?v=kgzXMF5slHc,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_desh_playlist_vbG6gSbxPrM,desh,,Des (राग देस) Chaturang in Trital Drut - Mori araj suno shyam tum mori,,https://www.youtube.com/watch?v=vbG6gSbxPrM,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_desh_playlist_yvqMp1ynwLM,desh,,Des Chaturang in Trital Drut - Chhan nan nan nan nan baje,,https://www.youtube.com/watch?v=yvqMp1ynwLM,youtube,,unknown,ingestible,,,"{""tags"": []}"
kafi_keshav_ginde,kafi,Pt. Keshav Ginde,Raag: Kafi Hori,bansuri,https://www.youtube.com/watch?v=97vmlBIaxfU,youtube,,unknown,reference_only,,,"{""tags"": [""instrumental""], ""collection_key"": ""yt_kafi_playlist""}"
kafi_mallikarjun_mansur,kafi,Pandit Mallikarjun Mansur,Thumri in Raga Kafi,vocal,https://m.youtube.com/watch?v=qLon5nxRaA0,youtube,,unknown,reference_only,,,"{""tags"": [""vocal"", ""thumri""], ""collection_key"": ""yt_kafi_playlist""}"
yt_kafi_playlist_2bTuSPVC5AE,kafi,,"Tumhara Pyaar Chahiye, Mujhe Jeene Ke Liye",,https://www.youtube.com/watch?v=2bTuSPVC5AE,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_kafi_playlist_EavepsQ3F_U,kafi,,Aaradhisuve Madanaari | ಆರಾಧಿಸುವೆ ಮದನಾರಿ |Babruvahana |  Dr Rajkumar | Jayamala | Kannada Video Song,,https://www.youtube.com/watch?v=EavepsQ3F_U,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_kafi_playlist_frBwy9bJM4E,kafi,,Gairon Pe Karam Apnon Pe Sitam - Lata - Aankhen (1968) - HD,,https://www.youtube.com/watch?v=frBwy9bJM4E,youtube,,unknown,ingestible,,,"{""tags"": []}"
